USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root          25  0.0  0.0      0     0 ?        S    00:38   0:00 [idle_inject/1]
root          26  0.3  0.0      0     0 ?        S    00:38   0:00 [migration/1]
root          27  0.0  0.0      0     0 ?        S    00:38   0:00 [ksoftirqd/1]
root          28  0.0  0.0      0     0 ?        I    00:38   0:00 [kworker/1:0-ata_sff]
root          29  0.0  0.0      0     0 ?        I<   00:38   0:00 [kworker/1:0H-events_highpri]
root          30  0.0  0.0      0     0 ?        S    00:38   0:00 [cpuhp/2]
root          31  0.0  0.0      0     0 ?        S    00:38   0:00 [idle_inject/2]
root          32  0.3  0.0      0     0 ?        S    00:38   0:00 [migration/2]
root          33  0.0  0.0      0     0 ?        S    00:38   0:00 [ksoftirqd/2]
root          34  0.0  0.0      0     0 ?        I    00:38   0:00 [kworker/2:0-slub_flushwq]
root          35  0.0  0.0      0     0 ?        I<   00:38   0:00 [kworker/2:0H-events_highpri]
root          36  0.0  0.0      0     0 ?        S    00:38   0:00 [cpuhp/3]
root          37  0.0  0.0      0     0 ?        S    00:38   0:00 [idle_inject/3]
root          38  0.3  0.0      0     0 ?        S    00:38   0:00 [migration/3]
root          39  0.0  0.0      0     0 ?        S    00:38   0:00 [ksoftirqd/3]
root          40  0.0  0.0      0     0 ?        I    00:38   0:00 [kworker/3:0-ata_sff]
root          41  0.0  0.0      0     0 ?        I<   00:38   0:00 [kworker/3:0H-events_highpri]
root          42  0.0  0.0      0     0 ?        S    00:38   0:00 [cpuhp/4]
root          43  0.0  0.0      0     0 ?        S    00:38   0:00 [idle_inject/4]
root          44  0.3  0.0      0     0 ?        S    00:38   0:00 [migration/4]
root          45  0.0  0.0      0     0 ?        S    00:38   0:00 [ksoftirqd/4]
root          46  0.0  0.0      0     0 ?        I    00:38   0:00 [kworker/4:0-events]
root          47  0.0  0.0      0     0 ?        I<   00:38   0:00 [kworker/4:0H-events_highpri]
root          48  0.0  0.0      0     0 ?        S    00:38   0:00 [cpuhp/5]
root          49  0.0  0.0      0     0 ?        S    00:38   0:00 [idle_inject/5]
root          50  0.3  0.0      0     0 ?        S    00:38   0:00 [migration/5]
root          51  0.0  0.0      0     0 ?        S    00:38   0:00 [ksoftirqd/5]
root          52  0.0  0.0      0     0 ?        I    00:38   0:00 [kworker/5:0-events]
root          53  0.0  0.0      0     0 ?        I<   00:38   0:00 [kworker/5:0H-events_highpri]
root          54  0.0  0.0      0     0 ?        S    00:38   0:00 [cpuhp/6]
root          55  0.0  0.0      0     0 ?        S    00:38   0:00 [idle_inject/6]
root          56  0.3  0.0      0     0 ?        S    00:38   0:00 [migration/6]
root          57  0.0  0.0      0     0 ?        S    00:38   0:00 [ksoftirqd/6]
root          58  0.0  0.0      0     0 ?        I    00:38   0:00 [kworker/6:0-mm_percpu_wq]
root          59  0.0  0.0      0     0 ?        I<   00:38   0:00 [kworker/6:0H-kblockd]
root          61  0.0  0.0      0     0 ?        I    00:38   0:00 [kworker/u28:1-flush-8:0]
root          62  0.0  0.0      0     0 ?        I    00:38   0:00 [kworker/u28:2-kvfree_rcu_reclaim]
root          63  0.8  0.0      0     0 ?        I    00:38   0:01 [kworker/u28:3-flush-8:0]
root          64  0.0  0.0      0     0 ?        I    00:38   0:00 [kworker/u28:4-flush-8:0]
root          65  0.0  0.0      0     0 ?        I    00:38   0:00 [kworker/u28:5-events_unbound]
root          66  0.0  0.0      0     0 ?        I    00:38   0:00 [kworker/u28:6]
root          67  0.0  0.0      0     0 ?        S    00:38   0:00 [kdevtmpfs]
root          68  0.0  0.0      0     0 ?        I<   00:38   0:00 [kworker/R-inet_frag_wq]
root          69  0.0  0.0      0     0 ?        S    00:38   0:00 [kauditd]
root          70  0.0  0.0      0     0 ?        S    00:38   0:00 [khungtaskd]
root          71  0.0  0.0      0     0 ?        S    00:38   0:00 [oom_reaper]
root          72  0.0  0.0      0     0 ?        I<   00:38   0:00 [kworker/R-writeback]
root          73  0.0  0.0      0     0 ?        S    00:38   0:00 [kcompactd0]
root          74  0.0  0.0      0     0 ?        SN   00:38   0:00 [ksmd]
root          75  0.2  0.0      0     0 ?        SN   00:38   0:00 [khugepaged]
root          76  0.0  0.0      0     0 ?        I<   00:38   0:00 [kworker/R-kintegrityd]
root          77  0.0  0.0      0     0 ?        I<   00:38   0:00 [kworker/R-kblockd]
root          78  0.0  0.0      0     0 ?        I<   00:38   0:00 [kworker/R-blkcg_punt_bio]
root          79  0.0  0.0      0     0 ?        S    00:38   0:00 [irq/9-acpi]
root          80  0.0  0.0      0     0 ?        I    00:38   0:00 [kworker/2:1-mm_percpu_wq]
root          81  0.0  0.0      0     0 ?        I    00:38   0:00 [kworker/3:1-cgroup_destroy]
root          82  0.2  0.0      0     0 ?        I    00:38   0:00 [kworker/4:1-events]
root          83  0.0  0.0      0     0 ?        I    00:38   0:00 [kworker/5:1-cgroup_destroy]
root          84  0.0  0.0      0     0 ?        I<   00:38   0:00 [kworker/R-tpm_dev_wq]
root          85  0.0  0.0      0     0 ?        I<   00:38   0:00 [kworker/R-edac-poller]
root          86  0.0  0.0      0     0 ?        I<   00:38   0:00 [kworker/R-devfreq_wq]
root          87  0.0  0.0      0     0 ?        I<   00:38   0:00 [kworker/0:1H-kblockd]
root          88  0.0  0.0      0     0 ?        S    00:38   0:00 [kswapd0]
root          90  0.0  0.0      0     0 ?        I    00:38   0:00 [kworker/6:1-events]
root          92  0.0  0.0      0     0 ?        I    00:38   0:00 [kworker/1:1-mm_percpu_wq]
root          97  0.0  0.0      0     0 ?        I<   00:38   0:00 [kworker/R-kthrotld]
root         101  0.0  0.0      0     0 ?        I<   00:38   0:00 [kworker/R-acpi_thermal_pm]
root         102  0.0  0.0      0     0 ?        I    00:38   0:00 [kworker/0:2]
root         103  0.0  0.0      0     0 ?        I<   00:38   0:00 [kworker/R-mld]
root         104  0.0  0.0      0     0 ?        I<   00:38   0:00 [kworker/2:1H-kblockd]
root         105  0.0  0.0      0     0 ?        I<   00:38   0:00 [kworker/R-ipv6_addrconf]
root         110  0.0  0.0      0     0 ?        I<   00:38   0:00 [kworker/R-kstrp]
root         114  0.0  0.0      0     0 ?        I<   00:38   0:00 [kworker/u29:0-ttm]
root         205  0.0  0.0      0     0 ?        I<   00:38   0:00 [kworker/4:1H-kblockd]
root         207  0.0  0.0      0     0 ?        I<   00:38   0:00 [kworker/5:1H-kblockd]
root         211  0.0  0.0      0     0 ?        I<   00:38   0:00 [kworker/6:1H-kblockd]
root         213  0.0  0.0      0     0 ?        I<   00:38   0:00 [kworker/3:1H-kblockd]
root         246  0.0  0.0      0     0 ?        I<   00:38   0:00 [kworker/1:1H-kblockd]
root         247  0.0  0.0      0     0 ?        I    00:38   0:00 [kworker/2:2-events]
root         248  0.0  0.0      0     0 ?        I<   00:38   0:00 [kworker/R-cryptd]
root         249  0.0  0.0      0     0 ?        I<   00:38   0:00 [kworker/R-ata_sff]
root         255  0.0  0.0      0     0 ?        S    00:38   0:00 [scsi_eh_0]
root         256  0.0  0.0      0     0 ?        I<   00:38   0:00 [kworker/R-scsi_tmf_0]
