top - 10:44:36 up  3:49,  1 user,  load average: 0.25, 0.32, 0.23
Tasks: 241 total,   1 running, 239 sleeping,   0 stopped,   1 zombie
%Cpu(s):  0.0 us,  1.3 sy,  0.0 ni, 98.7 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   8438.6 total,   5239.1 free,   2182.2 used,   1347.2 buff/cache     
MiB Swap:    953.7 total,    953.7 free,      0.0 used.   6256.3 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    103 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    104 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    105 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    110 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    114 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    217 root       0 -20       0      0      0 I   0.0   0.0   0:00.19 kworker+
    218 root       0 -20       0      0      0 I   0.0   0.0   0:00.24 kworker+
    237 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    285 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    290 root      20   0       0      0      0 S   0.0   0.0   0:00.03 scsi_eh+
    291 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    292 root      20   0       0      0      0 S   0.0   0.0   0:00.02 scsi_eh+
    294 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    299 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    300 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    304 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/18-+
    305 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    309 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    342 root      20   0       0      0      0 S   0.0   0.0   0:00.63 jbd2/sd+
    343 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    399 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
    411 root      20   0   51576  18208  17056 S   0.0   0.2   0:00.93 systemd+
    461 root      20   0   36636  10344   7528 S   0.0   0.1   0:00.39 systemd+
    464 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
    584 root      20   0    8380   6684   1600 S   0.0   0.1   0:01.00 haveged
    593 root      20   0  309336   7260   6364 S   0.0   0.1   0:00.34 account+
    601 polkitd   20   0  382604   9632   7328 S   0.0   0.1   0:01.30 polkitd
    682 root      20   0  336508  18876  16188 S   0.0   0.2   0:00.69 Network+
    694 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    695 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    698 root      20   0  317204  11900  10236 S   0.0   0.1   0:00.30 ModemMa+
    700 root      20   0    6880   2684   2556 S   0.0   0.0   0:00.06 cron
    710 root      20   0  357280   3256   3120 S   0.0   0.0   0:04.33 VBoxSer+
    765 root      20   0  381024   7228   6460 S   0.0   0.1   0:00.15 lightdm
    771 root      20   0 2096112  49968  36064 S   0.0   0.6   0:17.72 contain+
    818 root      20   0  471100 176204  83272 S   0.0   2.0   3:21.67 Xorg
    819 root      20   0    8160   2504   2376 S   0.0   0.0   0:00.02 agetty
    872 mysql     20   0 1440696 151320  27668 S   0.0   1.8   0:05.75 mariadbd
    875 root       0 -20       0      0      0 I   0.0   0.0   0:00.19 kworker+
    899 root      20   0 2137140  88244  55968 S   0.0   1.0   0:13.13 dockerd
    995 rtkit     21   1   87008   2972   2844 S   0.0   0.0   0:00.45 rtkit-d+
   1213 root      20   0  172832  10168   9016 S   0.0   0.1   0:00.03 lightdm
   1230 kali      20   0   22880  12600  10040 S   0.0   0.1   0:00.28 systemd
   1232 kali      20   0   25116   3828   1968 S   0.0   0.0   0:00.00 (sd-pam)
   1252 kali      20   0    9308   5480   4328 S   0.0   0.1   0:01.21 dbus-da+
   1253 kali      20   0  112916  15368  10260 S   0.0   0.2   0:00.40 pipewire
   1254 kali      20   0   84752   5140   4628 S   0.0   0.1   0:00.01 pipewire
   1256 kali      20   0  183144   9764   8996 S   0.0   0.1   0:00.16 gnome-k+
   1257 kali      20   0    7232   3384   3256 S   0.0   0.0   0:00.05 mpris-p+
   1258 kali      20   0  612944  33532  26184 S   0.0   0.4   0:00.36 wireplu+
   1259 kali      20   0  171080  10156   8108 S   0.0   0.1   0:00.36 pipewir+
   1281 kali      20   0  421880  36076  18908 S   0.0   0.4   0:03.72 xfce4-s+
   1343 kali      20   0   16716   1660   1368 S   0.0   0.0   0:00.00 VBoxCli+
   1345 kali      20   0  215544   4640   3708 S   0.0   0.1   0:00.61 VBoxCli+
   1351 kali      20   0   16716   1768   1476 S   0.0   0.0   0:00.00 VBoxCli+
   1353 kali      20   0  214872   3264   2972 S   0.0   0.0   0:15.04 VBoxCli+
   1359 kali      20   0   16716   1716   1424 S   0.0   0.0   0:00.00 VBoxCli+
   1361 kali      20   0  215388   3136   2844 S   0.0   0.0   0:45.86 VBoxCli+
   1392 kali      20   0  381200   7332   6820 S   0.0   0.1   0:00.03 at-spi-+
   1399 kali      20   0    8752   4764   4252 S   0.0   0.1   0:00.39 dbus-da+
   1409 kali      20   0  168884   7368   6728 S   0.0   0.1   0:02.99 at-spi2+
   1417 kali      20   0   10676   1696    728 S   0.0   0.0   0:00.00 ssh-age+
   1426 kali      20   0  155472   3668   3412 S   0.0   0.0   0:00.33 gpg-age+
   1431 kali      20   0   16716   1836   1544 S   0.0   0.0   0:00.00 VBoxCli+
