top - 02:12:49 up  1:16,  1 user,  load average: 0.00, 0.03, 0.05
Tasks: 228 total,   3 running, 225 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.0 us,  1.1 sy,  0.0 ni, 98.9 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   8438.6 total,   5124.5 free,   1735.8 used,   1932.9 buff/cache     
MiB Swap:    953.7 total,    953.7 free,      0.0 used.   6702.7 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    114 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    217 root       0 -20       0      0      0 I   0.0   0.0   0:00.14 kworker+
    219 root       0 -20       0      0      0 I   0.0   0.0   0:00.08 kworker+
    221 root       0 -20       0      0      0 I   0.0   0.0   0:00.06 kworker+
    230 root      20   0       0      0      0 I   0.0   0.0   0:00.09 kworker+
    237 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    248 root      20   0       0      0      0 I   0.0   0.0   0:00.18 kworker+
    280 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    285 root      20   0       0      0      0 S   0.0   0.0   0:00.02 scsi_eh+
    286 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    287 root      20   0       0      0      0 S   0.0   0.0   0:00.04 scsi_eh+
    289 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    294 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    295 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    297 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
    300 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/18-+
    301 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    304 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    306 root      20   0       0      0      0 I   0.0   0.0   0:00.14 kworker+
    347 root      20   0       0      0      0 S   0.0   0.0   0:00.22 jbd2/sd+
    348 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    403 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
    415 root      20   0   51172  17040  15888 S   0.0   0.2   0:00.61 systemd+
    463 root      20   0   36508  10484   7796 S   0.0   0.1   0:00.27 systemd+
    469 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
    595 root      20   0    8380   7532   1692 S   0.0   0.1   0:00.72 haveged
    608 root      20   0  309244   7128   6360 S   0.0   0.1   0:00.26 account+
    610 message+  20   0   10252   5940   4020 S   0.0   0.1   0:04.57 dbus-da+
    613 polkitd   20   0  382604  10000   7680 S   0.0   0.1   0:01.03 polkitd
    615 root      20   0   19164   8980   7828 S   0.0   0.1   0:01.58 systemd+
    699 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    701 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    702 root      20   0  390940  11872  10208 S   0.0   0.1   0:00.21 ModemMa+
    704 root      20   0    6880   2768   2640 S   0.0   0.0   0:00.05 cron
    715 root      20   0  291744   3092   2956 S   0.0   0.0   0:03.30 VBoxSer+
    779 root      20   0  381020   7176   6408 S   0.0   0.1   0:00.08 lightdm
    781 root      20   0 2022380  49748  35488 S   0.0   0.6   0:16.75 contain+
    832 root      20   0  666552 267068 111300 R   0.0   3.1   2:14.27 Xorg
    836 root      20   0    8160   2332   2204 S   0.0   0.0   0:00.01 agetty
    879 mysql     20   0 1528652 151868  28076 S   0.0   1.8   0:05.54 mariadbd
    889 root      20   0  261768  31544  21860 S   0.0   0.4   0:01.06 apache2
    905 root      20   0 2211128  87368  55876 S   0.0   1.0   0:03.68 dockerd
   1038 rtkit     21   1   21472   3140   3012 S   0.0   0.0   0:00.27 rtkit-d+
   1190 root       0 -20       0      0      0 I   0.0   0.0   0:00.27 kworker+
   1224 root      20   0  172832  10296   9016 S   0.0   0.1   0:00.02 lightdm
   1241 kali      20   0   22848  12480  10048 S   0.0   0.1   0:00.19 systemd
   1243 kali      20   0   25116   3780   1956 S   0.0   0.0   0:00.00 (sd-pam)
   1263 kali      20   0    9304   5676   4268 S   0.0   0.1   0:00.77 dbus-da+
   1264 kali       9 -11  111800  15324  10648 S   0.0   0.2   0:00.30 pipewire
   1265 kali      20   0   84752   5256   4744 S   0.0   0.1   0:00.02 pipewire
   1267 kali      20   0  183144   9740   8844 S   0.0   0.1   0:00.10 gnome-k+
   1268 kali      20   0    7232   3536   3280 S   0.0   0.0   0:00.03 mpris-p+
   1269 kali       9 -11  547416  33884  26460 S   0.0   0.4   0:00.26 wireplu+
   1270 kali       9 -11  171860  14264   7384 S   0.0   0.2   0:00.15 pipewir+
   1292 kali      20   0  429068  43400  18956 S   0.0   0.5   0:02.48 xfce4-s+
   1354 kali      20   0   16716   1740   1448 S   0.0   0.0   0:00.00 VBoxCli+
   1356 kali      20   0  215544   5144   3876 S   0.0   0.1   0:00.43 VBoxCli+
   1362 kali      20   0   16716   1896   1604 S   0.0   0.0   0:00.00 VBoxCli+
   1364 kali      20   0  214872   3244   2952 S   0.0   0.0   0:11.56 VBoxCli+
   1370 kali      20   0   16716   1676   1384 S   0.0   0.0   0:00.00 VBoxCli+
   1372 kali      20   0  215388   3028   2736 S   0.0   0.0   0:20.88 VBoxCli+
   1403 kali      20   0  381200   7288   6776 S   0.0   0.1   0:00.02 at-spi-+
   1410 kali      20   0    8744   4704   4192 S   0.0   0.1   0:00.26 dbus-da+
   1420 kali      20   0  168752   7592   6952 S   0.0   0.1   0:03.15 at-spi2+
   1428 kali      20   0   10676   1668    700 S   0.0   0.0   0:00.00 ssh-age+
